#,title,viewCount,duration,avrag_duration_of_top_10_videos,avrage_video_Views_with_common_tags,avrage_video_Views_without_common_tags,tags
1,"Tesla, Inc. 2022 Annual Meeting of Stockholders",540335,4384,85.0370,944643.6471,2036304.3636,"tesla', 'model s', 'model x', 'model 3', 'powerwall', 'electric car', 'elon musk', 'ludicrous', 'battery', 'Cypertruck', 'cybrtrk', 'tsla', 'ev'"
2,Tesla Montreal Grand Opening Event,75439,90,85.0370,944643.6471,2036304.3636,"Tesla Motors (Venture Funded Company)', 'Tesla Model S (Automobile Model)', 'Automobile (TV Genre)', 'Canada', 'Montreal', 'Electric Car (Automotive Class)', 'EV', 'P85D', 'Electric Vehicle (Industry)'"
3,A Musician's Dream Car,94461,160,85.0370,944643.6471,2036304.3636,"Musician (Occupation)', 'drum', 'tesla', 'motors', 'Automobile (Industry)', 'electric', 'Energy', 'Global', 'Warming', 'Climate', 'Change', 'elon', 'musk'"
4,S3XY Light Show,1104886,82,85.0370,944643.6471,2036304.3636,"tesla', 'model s', 'model x', 'model 3', 'powerwall', 'electric car', 'elon musk', 'ludicrous', 'battery', 'tesla light show', 'new tesla light show', 'tesla dance', 'tesla car dance', 'new tesla light dance'"
5,"Tesla Megapack | Soldotna, AK",172646,75,85.0370,944643.6471,2036304.3636,"tesla', 'model s', 'model x', 'model 3', 'powerwall', 'electric car', 'elon musk', 'ludicrous', 'battery', 'megapack', 'tesla energy', 'tesla commercial battery', 'tesla battery backup'"
6,Tesla Cyber Rodeo 2022,432275,140,85.0370,944643.6471,2036304.3636,"tesla', 'model s', 'model x', 'model 3', 'powerwall', 'electric car', 'elon musk', 'ludicrous', 'battery', 'tesla rodeo', 'giga texas rodeo', 'tesla texas', 'tesla texas factory', 'tesla giga texas cyber'"
7,Tesla Powerpacks + Solar Powering Kauai,441934,56,85.0370,944643.6471,2036304.3636,"tesla', 'model s', 'model x', 'model 3', 'powerwall', 'electric car', 'elon musk', 'ludicrous', 'battery'"
8,Perform Under Pressure,58757,46,85.0370,944643.6471,2036304.3636,"tesla', 'model s', 'model x', 'model 3', 'powerwall', 'electric car', 'elon musk', 'ludicrous', 'battery'"
9,How Model 3 gets made,861920,49,85.0370,944643.6471,2036304.3636,"tesla', 'model 3', 'powerwall', 'electric car', 'elon musk', 'ludicrous', 'battery', 'model 3 production', 'model 3 built', 'model 3 robots', 'model 3 general assembly', 'model 3 assembly line', 'model 3 how its made', 'model 3 behind the scenes', 'tesla model 3 assembly'"
10,Model S Has Gone to Plaid,446611,71,85.0370,944643.6471,2036304.3636,"tesla', 'model s', 'model x', 'model 3', 'powerwall', 'electric car', 'elon musk', 'ludicrous', 'battery'"
